time,strategy,exchange,identifier,symbol,side,type,status,price,filled_quantity,multiplier,trade_cost,trade_slippage,time_in_force,asset.right,asset.strike,asset.multiplier,asset.expiration,asset.asset_type,price_source,event_kind,event_id,cash_event_type,cash_event_amount,cash_event_currency,cash_event_description,cash_event_direction,cash_event_reason,is_external_cash_flow,cash_event_raw_type,cash_event_raw_subtype,cash_event_broker_name,cash_event_broker_event_id
2025-01-01 20:00:00-05:00,Strategy,,bt_1,DOGE,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-01-01 20:00:00-05:00,Strategy,,bt_1,DOGE,buy,market,canceled,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-01-01 22:00:00-05:00,Strategy,,bt_2,DOGE,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-01-01 22:00:00-05:00,Strategy,,bt_2,DOGE,buy,market,canceled,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-01-01 23:00:00-05:00,Strategy,,bt_3,DOGE,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-01-01 23:00:00-05:00,Strategy,,bt_3,DOGE,buy,market,canceled,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-01-02 00:00:00-05:00,Strategy,,bt_4,DOGE,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-01-02 00:00:00-05:00,Strategy,,bt_4,DOGE,buy,market,canceled,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-01-02 01:00:00-05:00,Strategy,,bt_5,DOGE,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-01-02 01:00:00-05:00,Strategy,,bt_5,DOGE,buy,market,canceled,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-01-02 02:00:00-05:00,Strategy,,bt_6,DOGE,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-01-02 02:00:00-05:00,Strategy,,bt_6,DOGE,buy,market,canceled,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-01-02 04:00:00-05:00,Strategy,,bt_7,XRP,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-01-02 04:00:00-05:00,Strategy,,bt_7,XRP,buy,market,canceled,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-01-02 06:00:00-05:00,Strategy,,bt_8,DOGE,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-01-02 06:00:00-05:00,Strategy,,bt_8,DOGE,buy,market,canceled,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-01-02 10:00:00-05:00,Strategy,,bt_9,AVAX,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-01-02 10:00:00-05:00,Strategy,,bt_10,DOGE,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-01-02 10:00:00-05:00,Strategy,,bt_11,LINK,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-01-02 10:00:00-05:00,Strategy,,bt_9,AVAX,buy,market,canceled,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-01-02 10:00:00-05:00,Strategy,,bt_10,DOGE,buy,market,canceled,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-01-02 10:00:00-05:00,Strategy,,bt_11,LINK,buy,market,canceled,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-01-02 11:00:00-05:00,Strategy,,bt_12,DOGE,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-01-02 11:00:00-05:00,Strategy,,bt_13,LINK,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-01-02 11:00:00-05:00,Strategy,,bt_14,AVAX,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-01-02 11:00:00-05:00,Strategy,,bt_15,SOL,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-01-02 11:00:00-05:00,Strategy,,bt_12,DOGE,buy,market,canceled,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-01-02 11:00:00-05:00,Strategy,,bt_13,LINK,buy,market,canceled,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-01-02 11:00:00-05:00,Strategy,,bt_14,AVAX,buy,market,canceled,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-01-02 11:00:00-05:00,Strategy,,bt_15,SOL,buy,market,canceled,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-01-02 12:00:00-05:00,Strategy,,bt_16,DOGE,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-01-02 12:00:00-05:00,Strategy,,bt_17,LINK,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-01-02 12:00:00-05:00,Strategy,,bt_16,DOGE,buy,market,canceled,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-01-02 12:00:00-05:00,Strategy,,bt_17,LINK,buy,market,canceled,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-01-02 13:00:00-05:00,Strategy,,bt_18,DOGE,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-01-02 13:00:00-05:00,Strategy,,bt_19,LINK,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-01-02 13:00:00-05:00,Strategy,,bt_20,XRP,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-01-02 13:00:00-05:00,Strategy,,bt_18,DOGE,buy,market,canceled,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-01-02 13:00:00-05:00,Strategy,,bt_19,LINK,buy,market,canceled,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-01-02 13:00:00-05:00,Strategy,,bt_20,XRP,buy,market,canceled,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-01-02 14:00:00-05:00,Strategy,,bt_21,DOGE,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-01-02 14:00:00-05:00,Strategy,,bt_22,AVAX,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-01-02 14:00:00-05:00,Strategy,,bt_23,LINK,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-01-02 14:00:00-05:00,Strategy,,bt_24,XRP,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
