datetime,portfolio_value,cash,cash_deposits_total,cash_withdrawals_total,cash_adjustments_net_total,cash_financing_enabled,cash_financing_account_mode,cash_financing_credit_total,cash_financing_debit_total,cash_financing_net_total,cash_financing_days_accrued,cash_financing_events,cash_financing_last_credit_rate_used,cash_financing_last_debit_rate_used,positions,cash_deposits_period,cash_withdrawals_period,cash_adjustments_net_period,cash_financing_credit_period,cash_financing_debit_period,cash_financing_net_period,return,cash_adjusted_portfolio_value
2024-12-31 19:00:00-05:00,1000000.0,1000000.0,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,,1000000.0
2024-12-31 20:00:00-05:00,1000000.0,1000000.0,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2024-12-31 21:00:00-05:00,1000000.0,1000000.0,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2024-12-31 22:00:00-05:00,1000000.0,1000000.0,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2024-12-31 23:00:00-05:00,1000000.0,1000000.0,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2025-01-01 00:00:00-05:00,1000000.0,1000000.0,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2025-01-01 01:00:00-05:00,1000000.0,1000000.0,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2025-01-01 02:00:00-05:00,1000000.0,1000000.0,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2025-01-01 03:00:00-05:00,1000000.0,1000000.0,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2025-01-01 04:00:00-05:00,1000000.0,1000000.0,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2025-01-01 05:00:00-05:00,1000000.0,1000000.0,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2025-01-01 06:00:00-05:00,1000000.0,1000000.0,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2025-01-01 07:00:00-05:00,1000000.0,1000000.0,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2025-01-01 08:00:00-05:00,1000000.0,1000000.0,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2025-01-01 09:00:00-05:00,1000000.0,1000000.0,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2025-01-01 10:00:00-05:00,1000000.0,1000000.0,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2025-01-01 11:00:00-05:00,1000000.0,1000000.0,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2025-01-01 12:00:00-05:00,1000000.0,1000000.0,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2025-01-01 13:00:00-05:00,1000000.0,1000000.0,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2025-01-01 14:00:00-05:00,1000000.0,1000000.0,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2025-01-01 15:00:00-05:00,1000000.0,1000000.0,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2025-01-01 16:00:00-05:00,1000000.0,1000000.0,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2025-01-01 17:00:00-05:00,1000000.0,1000000.0,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2025-01-01 18:00:00-05:00,1000000.0,1000000.0,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2025-01-01 19:00:00-05:00,1000000.0,1000000.0,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2025-01-01 20:00:00-05:00,1000000.0,1000000.0,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2025-01-01 21:00:00-05:00,1000000.0,1000000.0,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2025-01-01 22:00:00-05:00,1000000.0,1000000.0,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
2025-01-01 23:00:00-05:00,1000000.0,1000000.0,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
