time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost,trade_slippage,event_kind,event_id,cash_event_type,cash_event_amount,cash_event_currency,cash_event_description,cash_event_direction,cash_event_reason,is_external_cash_flow,cash_event_raw_type,cash_event_raw_subtype,cash_event_broker_name,cash_event_broker_event_id
2024-07-02 10:00:00-04:00,buy,new,,TSLA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-02 10:00:00-04:00,buy,fill,456.0,TSLA,stock,,0.0,,218.87600708007807,market,1,199.6149184570312,0.0,trade,,,,,,,,,,,,
2024-07-02 11:00:00-04:00,sell,new,,TSLA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-02 11:00:00-04:00,sell,fill,456.0,TSLA,stock,,0.0,,229.43499755859372,market,1,209.2447177734375,0.0,trade,,,,,,,,,,,,
2024-07-03 10:00:00-04:00,buy,new,,TSLA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-03 10:00:00-04:00,buy,fill,424.0,TSLA,stock,,0.0,,235.5,market,1,199.704,0.0,trade,,,,,,,,,,,,
2024-07-03 11:00:00-04:00,sell,new,,TSLA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-03 11:00:00-04:00,sell,fill,424.0,TSLA,stock,,0.0,,244.57000732421875,market,1,207.3953662109375,0.0,trade,,,,,,,,,,,,
2024-07-03 12:00:00-04:00,buy,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-03 12:00:00-04:00,buy,fill,793.0,NVDA,stock,,0.0,,126.04000091552734,market,1,199.89944145202637,0.0,trade,,,,,,,,,,,,
2024-07-03 13:00:00-04:00,sell,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-03 13:00:00-04:00,sell,fill,793.0,NVDA,stock,,0.0,,126.04000091552734,market,1,199.89944145202637,0.0,trade,,,,,,,,,,,,
2024-07-05 10:00:00-04:00,buy,new,,AMD,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-05 10:00:00-04:00,buy,fill,598.0,AMD,stock,,0.0,,167.1927947998047,market,1,199.96258258056642,0.0,trade,,,,,,,,,,,,
2024-07-05 11:00:00-04:00,sell,new,,AMD,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-05 11:00:00-04:00,sell,fill,598.0,AMD,stock,,0.0,,170.0,market,1,203.32,0.0,trade,,,,,,,,,,,,
2024-07-08 10:00:00-04:00,buy,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-08 10:00:00-04:00,buy,new,,AMD,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-08 10:00:00-04:00,buy,fill,784.0,NVDA,stock,,0.0,,127.52999877929688,market,1,199.9670380859375,0.0,trade,,,,,,,,,,,,
2024-07-08 10:00:00-04:00,buy,fill,568.0,AMD,stock,,0.0,,175.93820190429688,market,1,199.86579736328125,0.0,trade,,,,,,,,,,,,
2024-07-08 11:00:00-04:00,sell,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-08 11:00:00-04:00,sell,new,,AMD,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-08 11:00:00-04:00,buy,new,,TSLA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-08 11:00:00-04:00,sell,fill,784.0,NVDA,stock,,0.0,,128.9600067138672,market,1,202.20929052734377,0.0,trade,,,,,,,,,,,,
2024-07-08 11:00:00-04:00,sell,fill,568.0,AMD,stock,,0.0,,175.18890380859375,market,1,199.0145947265625,0.0,trade,,,,,,,,,,,,
2024-07-08 11:00:00-04:00,buy,fill,399.0,TSLA,stock,,0.0,,250.5,market,1,199.899,0.0,trade,,,,,,,,,,,,
2024-07-08 12:00:00-04:00,sell,new,,TSLA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-08 12:00:00-04:00,sell,fill,399.0,TSLA,stock,,0.0,,256.2948913574219,market,1,204.52332330322267,0.0,trade,,,,,,,,,,,,
2024-07-09 10:00:00-04:00,buy,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-09 10:00:00-04:00,buy,fill,767.0,NVDA,stock,,0.0,,130.30999755859375,market,1,199.8955362548828,0.0,trade,,,,,,,,,,,,
2024-07-09 11:00:00-04:00,sell,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-09 11:00:00-04:00,sell,fill,767.0,NVDA,stock,,0.0,,131.96499633789062,market,1,202.4343043823242,0.0,trade,,,,,,,,,,,,
2024-07-09 12:00:00-04:00,buy,new,,TSLA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-09 12:00:00-04:00,buy,fill,386.0,TSLA,stock,,0.0,,258.69000244140625,market,1,199.70868188476564,0.0,trade,,,,,,,,,,,,
2024-07-09 13:00:00-04:00,sell,new,,TSLA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-09 13:00:00-04:00,sell,fill,386.0,TSLA,stock,,0.0,,264.2300109863281,market,1,203.98556848144528,0.0,trade,,,,,,,,,,,,
2024-07-10 10:00:00-04:00,buy,new,,AMD,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-10 10:00:00-04:00,buy,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-10 10:00:00-04:00,buy,fill,553.0,AMD,stock,,0.0,,180.7899932861328,market,1,199.9537325744629,0.0,trade,,,,,,,,,,,,
2024-07-10 10:00:00-04:00,buy,fill,749.0,NVDA,stock,,0.0,,133.4571075439453,market,1,199.91874710083005,0.0,trade,,,,,,,,,,,,
2024-07-10 11:00:00-04:00,sell,new,,AMD,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-10 11:00:00-04:00,sell,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-10 11:00:00-04:00,sell,fill,553.0,AMD,stock,,0.0,,186.6999969482422,market,1,206.49019662475587,0.0,trade,,,,,,,,,,,,
2024-07-10 11:00:00-04:00,sell,fill,749.0,NVDA,stock,,0.0,,134.1199951171875,market,1,200.91175268554687,0.0,trade,,,,,,,,,,,,
2024-07-12 10:00:00-04:00,buy,new,,TSLA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-12 10:00:00-04:00,buy,fill,424.0,TSLA,stock,,0.0,,235.72999572753903,market,1,199.8990363769531,0.0,trade,,,,,,,,,,,,
2024-07-12 11:00:00-04:00,sell,new,,TSLA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-12 11:00:00-04:00,sell,fill,424.0,TSLA,stock,,0.0,,246.4600067138672,market,1,208.9980856933594,0.0,trade,,,,,,,,,,,,
2024-07-15 10:00:00-04:00,buy,new,,TSLA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-15 10:00:00-04:00,buy,new,,AAPL,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-15 10:00:00-04:00,buy,fill,390.0,TSLA,stock,,0.0,,255.96499633789065,market,1,199.65269714355472,0.0,trade,,,,,,,,,,,,
2024-07-15 10:00:00-04:00,buy,fill,422.0,AAPL,stock,,0.0,,236.5319976806641,market,1,199.6330060424805,0.0,trade,,,,,,,,,,,,
2024-07-15 11:00:00-04:00,sell,new,,TSLA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-15 11:00:00-04:00,sell,new,,AAPL,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-15 11:00:00-04:00,sell,fill,390.0,TSLA,stock,,0.0,,264.1700134277344,market,1,206.05261047363283,0.0,trade,,,,,,,,,,,,
2024-07-15 11:00:00-04:00,sell,fill,422.0,AAPL,stock,,0.0,,234.82000732421875,market,1,198.1880861816406,0.0,trade,,,,,,,,,,,,
2024-07-18 10:00:00-04:00,buy,new,,TSLA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-18 10:00:00-04:00,buy,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-18 10:00:00-04:00,buy,fill,397.0,TSLA,stock,,0.0,,251.8600006103516,market,1,199.97684048461917,0.0,trade,,,,,,,,,,,,
2024-07-18 10:00:00-04:00,buy,fill,819.0,NVDA,stock,,0.0,,122.08999633789062,market,1,199.98341400146484,0.0,trade,,,,,,,,,,,,
2024-07-18 11:00:00-04:00,sell,new,,TSLA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-18 11:00:00-04:00,sell,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-18 11:00:00-04:00,sell,fill,397.0,TSLA,stock,,0.0,,254.3999938964844,market,1,201.99359515380863,0.0,trade,,,,,,,,,,,,
2024-07-18 11:00:00-04:00,sell,fill,819.0,NVDA,stock,,0.0,,119.9800033569336,market,1,196.52724549865724,0.0,trade,,,,,,,,,,,,
2024-07-18 12:00:00-04:00,buy,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-18 12:00:00-04:00,buy,fill,855.0,NVDA,stock,,0.0,,116.8550033569336,market,1,199.82205574035646,0.0,trade,,,,,,,,,,,,
